category_id,category_name_en
1,agro_industry_and_commerce
2,food
3,food_drink
4,art
5,arts_and_craftmanship
6,party_supplies
7,christmas_supplies
8,audio
9,auto
10,baby
11,drinks
12,health_beauty
13,toys
14,bed_bath_table
15,home_confort
16,home_comfort_2
17,home_construction
18,cds_dvds_musicals
19,cine_photo
20,air_conditioning
21,consoles_games
22,construction_tools_construction
23,costruction_tools_tools
24,construction_tools_lights
25,costruction_tools_garden
26,construction_tools_safety
27,cool_stuff
28,dvds_blu_ray
29,home_appliances
30,home_appliances_2
31,electronics
32,small_appliances
33,sports_leisure
34,fashion_bags_accessories
35,fashion_shoes
36,fashion_sport
37,fashio_female_clothing
38,fashion_childrens_clothes
39,fashion_male_clothing
40,fashion_underwear_beach
41,garden_tools
42,flowers
43,diapers_and_hygiene
44,industry_commerce_and_business
45,computers_accessories
46,musical_instruments
47,la_cuisine
48,books_imported
49,books_general_interest
50,books_technical
51,luggage_accessories
52,market_place
53,furniture_mattress_and_upholstery
54,kitchen_dining_laundry_garden_furniture
55,furniture_decor
56,office_furniture
57,furniture_bedroom
58,furniture_living_room
59,music
60,stationery
61,pc_gamer
62,computers
63,perfumery
64,pet_shop
65,small_appliances_home_oven_and_coffee
66,kitchen_portables_and_food_preparers
67,watches_gifts
68,security_and_services
69,signaling_and_security
70,tablets_printing_image
71,telephony
72,fixed_telephony
73,housewares
